序号,转换后JH,JX,Dogleg Severity,status
1,B16-X1,0,0.547,0
2,B16-X1,0.21,0.0974,0
3,B16-X1,0.3,0.282,0
4,B16-X1,0.48,0.187,0
5,B16-X1,0.53,0.668,0
6,B16-X1,0.92,3.21,0
7,B16-X1,1.88,2.2,1
8,B16-X1,2.56,3.23,1
9,B16-X1,3.55,2.41,1
10,B16-X1,4.26,3.5,1
11,B16-X1,5.31,2.35,1
12,B16-X1,6.06,3.73,1
13,B16-X1,7.24,2.41,1
14,B16-X1,8.01,2.27,1
15,B16-X1,8.68,2.14,1
16,B16-X1,9.35,2.67,1
17,B16-X1,10.21,2.6,1
18,B16-X1,11.04,2.34,1
19,B16-X1,11.79,2.34,1
20,B16-X1,12.54,2.84,1
21,B16-X1,13.45,2.41,1
22,B16-X1,14.22,2.54,1
23,B16-X1,15.03,2.82,1
24,B16-X1,15.68,1.75,1
25,B16-X1,16.23,2.47,1
26,B16-X1,17.01,2.64,1
27,B16-X1,17.84,0.525,1
28,B16-X1,18.28,0.264,2
29,B16-X1,18.15,0.734,2
30,B16-X1,18.06,0.593,2
31,B16-X1,18,0.772,2
32,B16-X1,18.13,0.184,2
33,B16-X1,18.21,0.23,2
34,B16-X1,18.24,0.103,2
35,B16-X1,18.2,0.308,2
36,B16-X1,18,0.211,2
37,B16-X1,17.8,0.0637,2
38,B16-X1,17.8,0.0524,2
39,B16-X1,17.75,0.258,2
40,B16-X1,17.7,0.131,2
41,B16-X1,17.67,1.14,2
42,B16-X1,18.35,2.05,2
43,B16-X1,19.47,0.503,2
44,B16-X1,19.12,0.333,2
45,B16-X1,18.94,0.472,2
46,B16-X1,18.53,0.534,2
47,B16-X1,18.06,0.295,2
48,B16-X1,17.92,0.312,2
49,B16-X1,17.71,0.302,2
50,B16-X1,17.8,0.134,2
51,B16-X1,17.89,0.299,2
52,B16-X1,17.83,0.34,2
53,B16-X1,17.71,1.68,2
54,B16-X1,18.33,0.843,2
55,B16-X1,17.67,0.336,2
56,B16-X1,17.35,0.355,2
57,B16-X1,17.01,1.95,2
58,B16-X1,18.85,1.32,2
59,B16-X1,19.86,0.13,2
60,B16-X1,19.74,0.0628,2
61,B16-X1,19.69,0.344,2
62,B16-X1,19.46,0.164,2
63,B16-X1,19.34,0.353,2
64,B16-X1,19.01,0.344,2
65,B16-X1,18.68,0.545,2
66,B16-X1,18.55,0.64,2
67,B16-X1,18.41,0.298,2
68,B16-X1,18.23,0.58,2
69,B16-X1,17.93,0.392,2
70,B16-X1,17.58,0.285,2
71,B16-X1,17.31,1.84,2
72,B16-X1,18.89,0.705,2
73,B16-X1,19.56,0.141,2
74,B16-X1,19.47,0.104,2
75,B16-X1,19.47,0.479,2
76,B16-X1,19.88,0.526,2
77,B16-X1,20.35,0.269,2
78,B16-X1,20.43,0.275,2
79,B16-X1,20.52,0.966,2
80,B16-X1,20.13,0.685,2
81,B16-X1,19.91,0.182,2
82,B16-X1,19.75,0.347,2
83,B16-X1,19.42,0.532,2
84,B16-X1,19.12,0.495,2
85,B16-X1,19.6,0.177,2
86,B16-X1,19.6,0.183,2
87,B16-X1,19.65,0.891,2
88,B16-X1,18.8,0.772,2
89,B16-X1,18.06,1.12,2
90,B16-X1,17,1.27,2
91,B16-X1,15.78,1.17,2
92,B16-X1,16.88,0.218,2
93,B16-X1,16.83,0.747,2
94,B16-X1,17.51,2.19,2
95,B16-X1,19.6,0.749,2
96,B16-X1,19.91,0.909,2
97,B16-X1,19.25,0.748,2
98,B16-X1,18.54,0.867,2
99,B16-X1,17.71,1.1,2
100,B16-X1,16.69,2.53,2
101,B16-X1,18.75,1.94,2
102,B16-X1,20.37,0.824,2
103,B16-X1,19.59,0.7,2
104,B16-X1,18.94,0.37,2
105,B16-X1,18.59,0.505,2
106,B16-X1,18.4,1.25,2
107,B16-X1,17.23,2.22,2
108,B16-X1,16.01,2.45,2
109,B16-X1,17.8,0.531,2
110,B16-X1,17.93,2.19,2
111,B16-X1,15.86,2.4,2
112,B16-X1,18.15,1.61,2
113,B16-X1,19.67,0.892,2
114,B16-X1,18.9,0.476,2
115,B16-X1,18.72,0.43,2
116,B16-X1,18.46,1.07,2
117,B16-X1,17.97,0.666,2
118,B16-X1,18.59,0.523,2
119,B16-X1,18.11,0.651,2
120,B16-X1,17.91,0.277,2
121,B16-X1,17.71,0.973,2
122,B16-X1,18.06,0.696,2
123,B16-X1,17.45,0.591,2
124,B16-X1,17.75,0.58,2
125,B16-X1,17.97,0.411,2
126,B16-X1,18.33,0.362,2
127,B16-X1,18.5,0.284,2
128,B16-X1,18.72,0.282,2
129,B16-X1,18.55,0,2
130,B16-X1,18.55,0,2
131,B16-X1,18.55,0,2
132,B16-X13,0,0,0
133,B16-X13,0,0.36,0
134,B16-X13,0.3,0.449,0
135,B16-X13,0.4,0.265,0
136,B16-X13,0.53,0.147,0
137,B16-X13,0.44,0.241,0
138,B16-X13,0.26,0.18,0
139,B16-X13,0.33,0.083,0
140,B16-X13,0.37,0.151,0
141,B16-X13,0.29,0.34,0
142,B16-X13,0.57,0.16,0
143,B16-X13,0.62,0,0
144,B16-X13,0.62,0,0
145,B16-X13,0.62,0.283,0
146,B16-X13,0.65,0.47,0
147,B16-X13,1.02,0.3,0
148,B16-X13,0.88,0.275,0
149,B16-X13,0.95,0.334,0
150,B16-X13,1.1,1.16,0
151,B16-X13,0.52,0.23,0
152,B16-X13,0.4,0.608,0
153,B16-X13,0.72,0.733,0
154,B16-X13,1.05,0.656,0
155,B16-X13,1.41,0.0939,0
156,B16-X13,1.32,0.117,0
157,B16-X13,1.21,0.211,0
158,B16-X13,1.01,2.28,0
159,B16-X13,2.11,4.39,1
160,B16-X13,3.47,4.4,1
161,B16-X13,4.88,5.62,1
162,B16-X13,6.66,5.25,1
163,B16-X13,8.33,4.83,1
164,B16-X13,9.86,5.47,1
165,B16-X13,11.59,4.67,1
166,B16-X13,13.07,4.86,1
167,B16-X13,14.53,4.65,1
168,B16-X13,15.86,3.97,1
169,B16-X13,17.01,4.13,1
170,B16-X13,18.32,4.18,1
171,B16-X13,19.65,4.02,1
172,B16-X13,20.92,4.75,1
173,B16-X13,22.06,4.64,1
174,B16-X13,23.18,4.61,1
175,B16-X13,24.35,4.23,1
176,B16-X13,25.69,4.24,1
177,B16-X13,27.03,3.7,1
178,B16-X13,28.21,4.06,1
179,B16-X13,29.02,3.04,1
180,B16-X13,30.01,0.16,2
181,B16-X13,29.98,0.109,2
182,B16-X13,29.95,0.158,2
183,B16-X13,29.93,0.671,2
184,B16-X13,29.29,0.697,2
185,B16-X13,28.63,0.635,2
186,B16-X13,28.04,0.293,2
187,B16-X13,27.76,0.176,2
188,B16-X13,27.62,0.0731,2
189,B16-X13,27.55,0.173,2
190,B16-X13,27.46,0.149,2
191,B16-X13,27.41,0.101,2
192,B16-X13,27.38,1.93,2
193,B16-X13,29.22,0.365,2
194,B16-X13,28.93,0.33,2
195,B16-X13,28.65,0.236,2
196,B16-X13,28.53,0.289,2
197,B16-X13,28.39,0.0722,2
198,B16-X13,28.44,0.0649,2
199,B16-X13,28.48,0.306,2
200,B16-X13,28.42,0.225,2
201,B16-X13,28.21,0.129,2
202,B16-X13,28.13,0.392,2
203,B16-X13,27.95,0.411,2
204,B16-X13,27.73,0.436,2
205,B16-X13,27.99,0.0581,2
206,B16-X13,28.02,0.101,2
207,B16-X13,28.04,0.614,2
208,B16-X13,28.61,0.464,2
209,B16-X13,28.9,0.461,2
210,B16-X13,29.18,0.741,2
211,B16-X13,29.49,0.736,2
212,B16-X13,29.62,2.22,2
213,B16-X13,31.2,0.827,2
214,B16-X13,30.45,2.27,2
215,B16-X13,31.86,1.83,2
216,B16-X13,33.57,1.54,2
217,B16-X13,32.12,0.571,2
218,B16-X13,31.99,1.34,2
219,B16-X13,32.7,0.787,2
220,B16-X13,32.12,2.62,2
221,B16-X13,32.8,1.15,2
222,B16-X13,33.89,1.42,2
223,B16-X13,32.64,1.45,2
224,B16-X13,31.38,1.86,2
225,B16-X13,29.62,1.01,2
226,B16-X13,30.45,2.86,2
227,B16-X13,27.95,1.85,3
228,B16-X13,26.28,1.92,3
229,B16-X13,26.98,1.37,3
230,B16-X13,26.02,2.01,3
231,B16-X13,24.19,2.46,3
232,B16-X13,22.02,3.19,3
233,B16-X13,19.03,2.7,3
234,B16-X13,16.88,2.46,3
235,B16-X13,14.94,2.81,3
236,B16-X13,12.51,2.74,3
237,B16-X13,10.11,1.37,3
238,B16-X13,9.23,1.87,3
239,B16-X13,8.96,0.389,3
240,B16-X13,8.71,0.536,3
241,B16-X13,8.53,0.34,3
242,B16-X13,8.66,0.348,3
243,B16-X13,8.67,0.36,3
244,B16-X13,8.79,0.811,3
245,B16-X13,8.62,0.964,3
246,B16-X13,8.44,0.14,3
247,B16-X13,8.32,0.114,3
248,B16-X13,8.22,0.54,3
249,B16-X13,8.16,0.536,3
250,B16-X13,8.09,0.867,3
251,B16-X13,8.39,0.676,3
252,B16-X13,8.79,0.517,3
253,B16-X13,8.85,0.36,3
254,B16-X13,8.91,0.361,3
255,B16-X13,8.96,0.37,3
256,B16-X13,9.31,0.503,3
257,B16-X13,9.79,0.429,3
258,B16-X13,10.2,0.355,3
259,B16-X13,10.53,0.185,3
260,B16-X13,10.67,0.113,3
261,B16-X13,10.75,0.523,3
262,B16-X13,11.22,0.403,3
263,B16-X13,11.54,0.411,3
264,B16-X13,11.82,0.285,3
265,B16-X13,11.98,0,3
266,B16-X13,11.98,0,3
267,B16-X14,0,0,0
268,B16-X14,0,0.552,0
269,B16-X14,0.46,0.276,0
270,B16-X14,0.6,0.201,0
271,B16-X14,0.44,0.0428,0
272,B16-X14,0.47,0.206,0
273,B16-X14,0.4,0.272,0
274,B16-X14,0.29,0.0485,0
275,B16-X14,0.33,0.136,0
276,B16-X14,0.38,0.0585,0
277,B16-X14,0.37,0.378,0
278,B16-X14,0.49,0,0
279,B16-X14,0.49,0,0
280,B16-X14,0.49,1.13,0
281,B16-X14,0.4,2.24,0
282,B16-X14,1.8,0.354,0
283,B16-X14,2.11,1.37,0
284,B16-X14,2.46,1.2,0
285,B16-X14,1.32,0.424,0
286,B16-X14,1.71,0.798,0
287,B16-X14,1.19,2.11,0
288,B16-X14,1.49,0.217,0
289,B16-X14,1.29,0.0327,0
290,B16-X14,1.26,0.0322,0
291,B16-X14,1.23,2.92,0
292,B16-X14,1.6,5.42,0
293,B16-X14,3.33,5.54,1
294,B16-X14,5.08,4.66,1
295,B16-X14,6.57,3.83,1
296,B16-X14,7.65,3.77,1
297,B16-X14,8.62,3.54,1
298,B16-X14,9.71,3.29,1
299,B16-X14,10.72,3.34,1
300,B16-X14,11.73,3.3,1
301,B16-X14,12.74,4.18,1
302,B16-X14,13.75,4.3,1
303,B16-X14,14.76,4.5,1
304,B16-X14,15.77,5.24,1
305,B16-X14,17.42,5.32,1
306,B16-X14,19.08,4.71,1
307,B16-X14,20.52,5.02,1
308,B16-X14,21.73,5.56,1
309,B16-X14,22.91,4.97,1
310,B16-X14,24.28,5.34,1
311,B16-X14,25.97,5.9,1
312,B16-X14,27.83,4.89,1
313,B16-X14,29.37,6.56,1
314,B16-X14,30.82,5.08,1
315,B16-X14,32.06,5.78,1
316,B16-X14,33.51,5.41,1
317,B16-X14,35.01,4.96,1
318,B16-X14,36.57,5.71,1
319,B16-X14,38.38,0.362,1
320,B16-X14,38.62,2.52,1
321,B16-X14,39.24,0.35,2
322,B16-X14,38.93,0.34,2
323,B16-X14,38.63,0.591,2
324,B16-X14,38.36,0.334,2
325,B16-X14,38.1,0.538,2
326,B16-X14,37.82,0.397,2
327,B16-X14,37.53,0.457,2
328,B16-X14,37.11,0.314,2
329,B16-X14,36.87,0.486,2
330,B16-X14,37.1,0.514,2
331,B16-X14,37.35,0.131,2
332,B16-X14,37.24,0.262,2
333,B16-X14,37.02,0.089,2
334,B16-X14,36.96,0.733,2
335,B16-X14,36.72,0.792,2
336,B16-X14,36.47,2.08,2
337,B16-X14,38.45,0.326,2
338,B16-X14,38.42,0.326,2
339,B16-X14,38.41,1.73,2
340,B16-X14,39.11,0.522,2
341,B16-X14,39.54,0.577,2
342,B16-X14,39.99,2.62,2
343,B16-X14,40.08,0.306,2
344,B16-X14,40.22,0.375,2
345,B16-X14,40.47,1.35,2
346,B16-X14,41.23,0.922,2
347,B16-X14,41.88,2.69,2
348,B16-X14,41.09,0.137,2
349,B16-X14,41.09,0.138,2
350,B16-X14,41.09,0.471,2
351,B16-X14,41.52,0.44,2
352,B16-X14,41.92,1.22,2
353,B16-X14,40.96,0.682,2
354,B16-X14,41.61,0.702,2
355,B16-X14,42.28,1.53,2
356,B16-X14,40.83,0.59,2
357,B16-X14,40.28,0.579,2
358,B16-X14,39.73,0.284,2
359,B16-X14,39.49,0.248,2
360,B16-X14,39.29,1.03,2
361,B16-X14,38.31,1.08,2
362,B16-X14,37.28,1,3
363,B16-X14,36.34,1.53,3
364,B16-X14,34.89,1.44,3
365,B16-X14,34.01,0.443,3
366,B16-X14,33.75,3.67,3
367,B16-X14,35.65,3.5,3
368,B16-X14,33.13,1.53,3
369,B16-X14,31.68,0.801,3
370,B16-X14,30.98,0.555,3
371,B16-X14,30.46,0.516,3
372,B16-X14,29.97,1.03,3
373,B16-X14,29.05,1.52,3
374,B16-X14,27.73,1.58,3
375,B16-X14,26.32,1.52,3
376,B16-X14,24.89,2.07,3
377,B16-X14,22.94,1.91,3
378,B16-X14,21.24,2.27,3
379,B16-X14,19.16,2.6,3
380,B16-X14,16.68,2.51,3
381,B16-X14,14.28,1.23,3
382,B16-X14,13.11,1.13,3
383,B16-X14,12.04,0.649,3
384,B16-X14,11.54,0.776,3
385,B16-X14,11.07,0.779,3
386,B16-X14,10.85,0.4,3
387,B16-X14,10.49,0.408,3
388,B16-X14,10.12,0.215,3
389,B16-X14,10,0,3
390,B16-X14,10,0,3
391,B16-X15,0,0.211,0
392,B16-X15,0.21,0.064,0
393,B16-X15,0.15,0.0627,0
394,B16-X15,0.1,0.0362,0
395,B16-X15,0.13,1.27,0
396,B16-X15,1.14,0.547,0
397,B16-X15,1.65,0.103,0
398,B16-X15,1.71,0.0998,0
399,B16-X15,1.8,0.263,1
400,B16-X15,2.05,0.289,1
401,B16-X15,2.32,0.381,1
402,B16-X15,2.68,0.12,1
403,B16-X15,2.73,0.143,1
404,B16-X15,2.81,0.125,1
405,B16-X15,2.9,0.493,1
406,B16-X15,2.59,3.6,1
407,B16-X15,3.73,3.56,1
408,B16-X15,4.86,4.93,1
409,B16-X15,6.43,4.86,1
410,B16-X15,7.97,6.14,1
411,B16-X15,9.81,6.11,1
412,B16-X15,11.57,4.78,1
413,B16-X15,13.02,4.66,1
414,B16-X15,14.43,4.7,1
415,B16-X15,15.82,5.09,1
416,B16-X15,17.45,5.61,1
417,B16-X15,19.25,5.06,1
418,B16-X15,20.87,6.22,1
419,B16-X15,22.79,6.58,1
420,B16-X15,24.79,5.06,1
421,B16-X15,26.3,6.64,1
422,B16-X15,28.42,5.04,1
423,B16-X15,30.01,6.56,1
424,B16-X15,32.08,6.46,1
425,B16-X15,34.13,4.96,1
426,B16-X15,35.66,6.47,1
427,B16-X15,37.71,0.271,1
428,B16-X15,37.97,0.331,2
429,B16-X15,37.66,0.367,2
430,B16-X15,37.31,0.506,2
431,B16-X15,36.83,0.339,2
432,B16-X15,36.61,0.375,2
433,B16-X15,36.34,0.423,2
434,B16-X15,36.36,0.371,2
435,B16-X15,36.39,0.57,2
436,B16-X15,36.12,0.551,2
437,B16-X15,35.73,0.183,2
438,B16-X15,35.6,0.191,2
439,B16-X15,35.46,1.53,2
440,B16-X15,36.47,0.262,2
441,B16-X15,36.69,0.78,2
442,B16-X15,36.47,0.648,2
443,B16-X15,35.96,0.675,2
444,B16-X15,35.42,3.02,2
445,B16-X15,36.47,0.0419,2
446,B16-X15,36.43,0.0745,2
447,B16-X15,36.39,0.447,2
448,B16-X15,36,0.419,2
449,B16-X15,35.64,0.675,2
450,B16-X15,35.71,0.065,2
451,B16-X15,35.73,0.445,2
452,B16-X15,35.32,0.783,2
453,B16-X15,36.07,1.26,2
454,B16-X15,37.27,0.201,2
455,B16-X15,37.12,0.0964,2
456,B16-X15,37.05,0.806,2
457,B16-X15,36.65,0.438,2
458,B16-X15,36.43,0.586,2
459,B16-X15,36.98,0.666,2
460,B16-X15,37.57,0.369,2
461,B16-X15,37.75,0.27,2
462,B16-X15,37.49,0.518,2
463,B16-X15,37.97,0.594,2
464,B16-X15,38.1,0.344,2
465,B16-X15,38.32,0.319,2
466,B16-X15,38.5,0.641,2
467,B16-X15,38.14,1.36,2
468,B16-X15,37.97,0.147,2
469,B16-X15,37.83,0.188,2
470,B16-X15,37.66,0.179,2
471,B16-X15,37.82,0.236,2
472,B16-X15,38.01,0.495,2
473,B16-X15,38.48,0.299,2
474,B16-X15,38.76,2.02,2
475,B16-X15,39.2,0.359,2
476,B16-X15,39.52,0.31,2
477,B16-X15,39.81,0.791,2
478,B16-X15,40.21,1.01,2
479,B16-X15,39.24,0.815,2
480,B16-X15,38.46,0.788,2
481,B16-X15,37.71,1.09,2
482,B16-X15,38.06,0.922,2
483,B16-X15,37.23,0.777,2
484,B16-X15,36.58,0.637,2
485,B16-X15,36.05,3.08,2
486,B16-X15,38.97,3.12,2
487,B16-X15,41.96,0.106,2
488,B16-X15,41.95,0.224,2
489,B16-X15,41.9,0.492,2
490,B16-X15,41.95,0.279,2
491,B16-X15,41.94,0.351,2
492,B16-X15,41.96,0.0816,2
493,B16-X15,42,0.105,2
494,B16-X15,42.1,0.278,2
495,B16-X15,41.87,0.326,2
496,B16-X15,41.63,0.67,2
497,B16-X15,41,0.268,2
498,B16-X15,40.78,0.407,2
499,B16-X15,40.39,0.457,2
500,B16-X15,39.95,0.763,2
501,B16-X15,39.23,0.735,2
502,B16-X15,38.54,1.49,2
503,B16-X15,37.25,1.59,3
504,B16-X15,35.82,1.71,3
505,B16-X15,37,1.51,3
506,B16-X15,37.71,1.48,3
507,B16-X15,36.34,1.98,3
508,B16-X15,34.46,2.03,3
509,B16-X15,32.52,2.32,3
510,B16-X15,30.32,1.53,3
511,B16-X15,31.73,2.4,3
512,B16-X15,34.01,0.386,3
513,B16-X15,33.64,0.443,3
514,B16-X15,33.22,0.645,3
515,B16-X15,33.83,0.62,3
516,B16-X15,34.41,0.126,3
517,B16-X15,34.45,0.695,3
518,B16-X15,35.02,0.432,3
519,B16-X15,35.43,0.467,3
520,B16-X15,35.86,0.384,3
521,B16-X15,36.21,0.476,3
522,B16-X15,35.86,0.636,3
523,B16-X15,36.47,0.647,3
524,B16-X15,36.65,0.75,3
525,B16-X15,37.28,0.79,3
526,B16-X15,37.33,1.32,3
527,B16-X15,38.58,1.23,3
528,B16-X15,39.76,3.37,3
529,B16-X15,36.82,0.997,3
530,B16-X15,35.88,0.125,3
531,B16-X15,36,0,3
532,B16-X15,36,0,3
533,B16-X20,0,0.322,0
534,B16-X20,0.32,0.354,0
535,B16-X20,0.66,0.347,0
536,B16-X20,0.53,0.356,0
537,B16-X20,0.26,0.155,0
538,B16-X20,0.4,0.254,0
539,B16-X20,0.63,0.203,0
540,B16-X20,0.79,1.62,0
541,B16-X20,1.71,3.38,0
542,B16-X20,4.92,2.47,1
543,B16-X20,7.16,3.26,1
544,B16-X20,9.76,3.82,1
545,B16-X20,12.44,3.52,1
546,B16-X20,12.76,3.44,1
547,B16-X20,13.01,4.39,1
548,B16-X20,13.32,3.79,1
549,B16-X20,14.03,4.35,1
550,B16-X20,14.75,4.17,1
551,B16-X20,15.51,4.5,1
552,B16-X20,16.49,4.49,1
553,B16-X20,17.38,4.79,1
554,B16-X20,18.33,4.02,1
555,B16-X20,19.36,4.84,1
556,B16-X20,20.38,3.96,1
557,B16-X20,21.4,5.55,1
558,B16-X20,22.98,4.42,1
559,B16-X20,24.13,4.6,1
560,B16-X20,25.33,5.37,1
561,B16-X20,26.98,5.06,1
562,B16-X20,28.52,5.52,1
563,B16-X20,30.23,4.87,1
564,B16-X20,31.61,4.94,1
565,B16-X20,32.99,4.98,1
566,B16-X20,34.37,4.66,1
567,B16-X20,35.82,5.18,1
568,B16-X20,37.43,4.84,1
569,B16-X20,38.94,5.69,1
570,B16-X20,40.72,5.08,1
571,B16-X20,42.29,5.7,1
572,B16-X20,44.08,0.599,1
573,B16-X20,44.21,0.739,2
574,B16-X20,44.3,1.03,2
575,B16-X20,45.26,0.402,2
576,B16-X20,45.08,0.346,2
577,B16-X20,44.91,0.0968,2
578,B16-X20,44.85,0.259,2
579,B16-X20,44.72,0.3,2
580,B16-X20,44.78,0.145,2
581,B16-X20,44.76,0.146,2
582,B16-X20,44.76,0.0209,2
583,B16-X20,44.78,0.242,2
584,B16-X20,44.56,0.22,2
585,B16-X20,44.35,0.239,2
586,B16-X20,44.17,0.173,2
587,B16-X20,44.02,0.136,2
588,B16-X20,43.91,0.163,2
589,B16-X20,43.77,0.15,2
590,B16-X20,43.81,0.0896,2
591,B16-X20,43.86,0.163,2
592,B16-X20,43.72,0.154,2
593,B16-X20,43.59,0.272,2
594,B16-X20,43.43,0.322,2
595,B16-X20,43.29,0.201,2
596,B16-X20,43.11,0.373,2
597,B16-X20,43.46,1.53,2
598,B16-X20,44.08,0.346,2
599,B16-X20,44.38,0.478,2
600,B16-X20,44.56,0.622,2
601,B16-X20,45.04,0.445,2
602,B16-X20,44.72,0.659,2
603,B16-X20,44.43,0.75,2
604,B16-X20,45.09,1.78,2
605,B16-X20,43.73,0.372,2
606,B16-X20,44.08,0.964,2
607,B16-X20,45,0.816,2
608,B16-X20,44.3,0.135,2
609,B16-X20,44.17,0.473,2
610,B16-X20,44.34,0.73,2
611,B16-X20,45.04,0.934,2
612,B16-X20,45.83,2.19,2
613,B16-X20,46.1,0.251,2
614,B16-X20,46.34,0.261,2
615,B16-X20,46.58,0.689,2
616,B16-X20,46.63,1.25,2
617,B16-X20,47.75,1.47,2
618,B16-X20,46.41,2.96,2
619,B16-X20,45.02,0.695,2
620,B16-X20,45.44,0.761,2
621,B16-X20,46.17,0.753,2
622,B16-X20,46.89,1.1,2
623,B16-X20,46.29,1.86,2
624,B16-X20,44.82,0.807,2
625,B16-X20,45.58,0.789,2
626,B16-X20,46.32,1.35,2
627,B16-X20,45.07,1.84,2
628,B16-X20,44.21,0.518,2
629,B16-X20,44.56,2.52,2
630,B16-X20,44.17,0.78,2
631,B16-X20,43.76,0.615,2
632,B16-X20,43.24,0.78,2
633,B16-X20,42.67,0.809,2
634,B16-X20,42.19,3.81,2
635,B16-X20,45.75,0.728,2
636,B16-X20,45.48,0.323,2
637,B16-X20,45.18,0.946,2
638,B16-X20,45.74,2.04,2
639,B16-X20,47.75,0.648,2
640,B16-X20,48.38,0.589,2
641,B16-X20,48.47,0.327,2
642,B16-X20,48.56,0.183,2
643,B16-X20,48.65,0.625,2
644,B16-X20,48.65,0.601,2
645,B16-X20,48.12,0.251,2
646,B16-X20,48.03,1.55,2
647,B16-X20,48.82,2.47,2
648,B16-X20,46.45,0.733,2
649,B16-X20,45.75,0.202,2
650,B16-X20,45.57,0.553,2
651,B16-X20,45.06,0.584,2
652,B16-X20,44.52,0.68,2
653,B16-X20,44.08,0.136,2
654,B16-X20,43.95,0.686,2
655,B16-X20,43.33,1.01,2
656,B16-X20,42.37,0.885,2
657,B16-X20,41.53,1.11,2
658,B16-X20,40.46,1.09,2
659,B16-X20,39.42,0.147,2
660,B16-X20,39.36,0.152,2
661,B16-X20,39.29,0.312,2
662,B16-X20,39.59,0.428,2
663,B16-X20,39.95,0.142,2
664,B16-X20,39.96,0.141,2
665,B16-X20,39.99,0.617,2
666,B16-X20,40.52,0.569,2
667,B16-X20,41.03,0.532,2
668,B16-X20,41.52,0.534,2
669,B16-X20,41.96,0,2
670,B16-X20,41.96,0,2
671,B16-X21,0,0.211,0
672,B16-X21,0.21,0.144,0
673,B16-X21,0.35,0.453,0
674,B16-X21,0.79,0.0959,0
675,B16-X21,0.73,0.139,0
676,B16-X21,0.62,1.29,0
677,B16-X21,0.62,0.0561,0
678,B16-X21,0.66,0.0576,0
679,B16-X21,0.7,0.183,0
680,B16-X21,0.77,0.188,0
681,B16-X21,0.82,0.203,0
682,B16-X21,0.88,0.167,0
683,B16-X21,0.72,0.115,0
684,B16-X21,0.61,0.152,0
685,B16-X21,0.48,0.559,0
686,B16-X21,0.5,2.63,0
687,B16-X21,2.02,2.66,1
688,B16-X21,2.87,2.81,1
689,B16-X21,3.76,3.93,1
690,B16-X21,5.01,4.08,1
691,B16-X21,6.31,3.76,1
692,B16-X21,7.52,3.71,1
693,B16-X21,8.7,4.11,1
694,B16-X21,10.01,4.26,1
695,B16-X21,11.36,4.55,1
696,B16-X21,12.81,5.31,1
697,B16-X21,14.5,5.16,1
698,B16-X21,16.13,4.7,1
699,B16-X21,17.62,4.34,1
700,B16-X21,18.9,4.3,1
701,B16-X21,20.15,3.97,1
702,B16-X21,21.27,4.44,1
703,B16-X21,22.65,4.32,1
704,B16-X21,23.98,4.56,1
705,B16-X21,25.4,4.91,1
706,B16-X21,26.96,5.19,1
707,B16-X21,28.62,4.79,1
708,B16-X21,30.15,4.79,1
709,B16-X21,31.67,5.07,1
710,B16-X21,33.29,4.75,1
711,B16-X21,34.8,1.42,1
712,B16-X21,35.24,1.18,2
713,B16-X21,35.61,0.871,2
714,B16-X21,35.86,0.207,2
715,B16-X21,36.02,0.157,2
716,B16-X21,36.17,0.336,2
717,B16-X21,35.95,0.201,2
718,B16-X21,35.86,0.63,2
719,B16-X21,35.28,0.517,2
720,B16-X21,34.8,0.168,2
721,B16-X21,34.64,0.933,2
722,B16-X21,35.53,1.18,2
723,B16-X21,34.41,0.54,2
724,B16-X21,34.02,0.627,2
725,B16-X21,33.49,0.312,2
726,B16-X21,33.24,0.229,2
727,B16-X21,33.05,1.04,2
728,B16-X21,32.11,0.753,2
729,B16-X21,31.46,2.35,2
730,B16-X21,33.62,0.372,2
731,B16-X21,33.28,0.38,2
732,B16-X21,32.92,0.641,2
733,B16-X21,32.78,0.68,2
734,B16-X21,32.74,0.464,2
735,B16-X21,32.33,0.455,2
736,B16-X21,31.95,3.72,2
737,B16-X21,35.16,0.465,2
738,B16-X21,34.82,0.52,2
739,B16-X21,34.41,0.308,2
740,B16-X21,34.22,0.392,2
741,B16-X21,33.97,0.69,2
742,B16-X21,34.63,0.638,2
743,B16-X21,35.24,0.293,2
744,B16-X21,35.08,0.358,2
745,B16-X21,34.89,0.309,2
746,B16-X21,34.79,0.436,2
747,B16-X21,34.63,0.437,2
748,B16-X21,34.5,0.313,2
749,B16-X21,34.8,1.97,2
750,B16-X21,34.94,0.533,2
751,B16-X21,34.43,0.857,2
752,B16-X21,33.62,0.369,2
753,B16-X21,33.84,0.316,2
754,B16-X21,34.12,0.425,2
755,B16-X21,34.46,0.401,2
756,B16-X21,34.77,0.316,2
757,B16-X21,35.02,0.691,2
758,B16-X21,35.68,0.356,2
759,B16-X21,35.73,0.369,2
760,B16-X21,35.68,2.77,2
761,B16-X21,35.99,0.697,2
762,B16-X21,35.58,0.456,2
763,B16-X21,35.16,0.753,2
764,B16-X21,34.72,2.29,2
765,B16-X21,36.65,0.497,2
766,B16-X21,36.21,1.42,2
767,B16-X21,34.85,1.77,2
768,B16-X21,36.34,0.702,2
769,B16-X21,35.81,0.735,2
770,B16-X21,35.24,0.395,2
771,B16-X21,34.94,0.401,2
772,B16-X21,34.63,0.634,2
773,B16-X21,34.3,0.586,2
774,B16-X21,34.06,2.37,2
775,B16-X21,35.99,0.392,2
776,B16-X21,35.62,0.351,2
777,B16-X21,35.29,0.695,2
778,B16-X21,34.63,0.922,2
779,B16-X21,33.75,1.72,2
